év	időtartam	értékelés	rendező	bevétel	cím
1994	142	9.3	Frank Darabont	28341469	The Shawshank Redemption
1972	175	9.2	Francis Ford Coppola	134966411	The Godfather
2008	152	9	Christopher Nolan	534858444	The Dark Knight
1974	202	9	Francis Ford Coppola	57300000	The Godfather: Part II
1957	96	9	Sidney Lumet	4360000	12 Angry Men
1994	154	8.9	Quentin Tarantino	107928762	Pulp Fiction
1993	195	8.9	Steven Spielberg	96898818	Schindler's List
2003	201	8.9	Peter Jackson	377845905	The Lord of the Rings: The Return of the King
2010	148	8.8	Christopher Nolan	292576195	Inception
1994	142	8.8	Robert Zemeckis	330252182	Forrest Gump
1999	139	8.8	David Fincher	37030102	Fight Club
1966	161	8.8	Sergio Leone	6100000	Il buono, il brutto, il cattivo
2001	178	8.8	Peter Jackson	315544750	The Lord of the Rings: The Fellowship of the Ring
2002	179	8.7	Peter Jackson	342551365	The Lord of the Rings: The Two Towers
1980	124	8.7	Irvin Kershner	290475067	Star Wars: Episode V - The Empire Strikes Back
1999	136	8.7	Lana Wachowski	171479930	The Matrix
1990	146	8.7	Martin Scorsese	46836394	Goodfellas
1975	133	8.7	Milos Forman	112000000	One Flew Over the Cuckoo's Nest
2020	153	8.6	Sudha Kongara	0	Soorarai Pottru
2020	160	8.6	Thomas Kail	0	Hamilton
1962	133	8.6	Masaki Kobayashi	0	Seppuku
1946	130	8.6	Frank Capra	0	It's a Wonderful Life
1998	169	8.6	Steven Spielberg	216540909	Saving Private Ryan
2014	169	8.6	Christopher Nolan	188020017	Interstellar
1977	121	8.6	George Lucas	322740140	Star Wars
2019	132	8.6	Bong Joon Ho	53367844	Gisaengchung
2002	130	8.6	Fernando Meirelles	7563397	Cidade de Deus
1999	189	8.6	Frank Darabont	136801374	The Green Mile
1995	127	8.6	David Fincher	100125643	Se7en
1991	118	8.6	Jonathan Demme	130742922	The Silence of the Lambs
2001	125	8.6	Hayao Miyazaki	10055859	Sen to Chihiro no kamikakushi
1997	116	8.6	Roberto Benigni	57598247	La vita è bella
1954	207	8.6	Akira Kurosawa	269061	Shichinin no samurai
1988	89	8.5	Isao Takahata	0	Hotaru no haka
1936	87	8.5	Charles Chaplin	163245	Modern Times
