100 1000 
91 1 1
92 1 1
50 1 2
50 1 8
53 1 9
2 1 10
3 1 10
89 1 12
3 1 17
64 1 18
82 1 19
46 1 20
53 1 20
100 1 25
42 1 27
46 1 28
21 1 30
13 1 34
98 1 34
12 1 36
33 1 36
48 1 36
95 1 36
38 1 38
37 1 39
86 1 39
67 1 40
51 1 41
60 1 42
55 1 44
10 1 45
89 1 45
81 1 51
21 1 52
93 1 52
1 1 55
3 1 55
22 1 55
34 1 55
64 1 56
51 1 57
59 1 57
16 2 2
43 2 3
4 2 5
9 2 5
46 2 5
52 2 5
94 2 5
12 2 6
33 2 8
9 2 10
56 2 11
42 2 12
45 2 15
71 2 15
8 2 16
33 2 16
58 2 16
64 2 16
12 2 17
83 2 17
88 2 19
52 2 20
88 2 20
2 2 23
72 2 23
8 2 25
75 2 26
95 2 26
34 2 29
20 2 31
27 2 31
58 2 32
66 2 35
10 2 36
59 2 36
8 2 37
59 2 37
1 2 41
20 2 43
25 2 43
33 2 46
80 2 47
12 2 48
95 2 48
41 2 50
93 2 51
96 2 53
35 2 54
26 2 57
16 2 58
23 2 58
94 3 2
67 3 3
80 3 3
81 3 15
84 3 17
93 3 17
20 3 19
13 3 20
68 3 26
56 3 27
93 3 27
37 3 31
81 3 32
14 3 33
14 3 34
38 3 35
68 3 35
9 3 36
65 3 36
86 3 37
89 3 37
44 3 38
49 3 38
8 3 39
98 3 42
21 3 43
47 3 44
54 3 45
92 3 45
19 3 47
95 3 48
20 3 49
63 3 50
95 3 51
59 3 52
72 3 52
82 3 52
83 3 55
50 3 56
28 3 57
30 3 57
48 3 57
27 3 58
29 3 58
72 3 58
76 3 58
43 4 1
52 4 2
55 4 3
92 4 4
84 4 7
91 4 8
80 4 11
51 4 13
57 4 13
99 4 13
51 4 17
67 4 19
29 4 20
65 4 20
80 4 21
93 4 21
50 4 23
89 4 24
49 4 26
20 4 27
22 4 27
10 4 28
38 4 30
58 4 30
3 4 32
54 4 34
54 4 34
56 4 34
60 4 34
99 4 34
76 4 36
75 4 38
89 4 40
91 4 41
6 4 42
61 4 42
38 4 44
94 4 44
45 4 46
21 4 47
22 4 48
52 4 48
44 4 50
55 4 50
85 4 50
28 4 51
15 4 53
35 4 54
40 4 57
97 5 1
59 5 4
81 5 6
9 5 9
37 5 10
26 5 12
11 5 13
50 5 15
2 5 16
40 5 18
57 5 18
30 5 19
16 5 20
39 5 20
45 5 21
99 5 22
99 5 23
5 5 24
90 5 25
46 5 26
85 5 26
89 5 26
94 5 29
95 5 29
80 5 33
71 5 34
2 5 35
80 5 35
36 5 41
37 5 41
77 5 41
4 5 42
7 5 42
45 5 42
21 5 43
47 5 43
54 5 46
11 5 47
35 5 47
37 5 48
61 5 48
70 5 48
42 5 49
99 5 51
69 5 52
92 5 55
39 5 56
40 5 56
40 5 56
42 5 58
56 6 1
99 6 1
32 6 2
57 6 2
59 6 3
21 6 4
62 6 4
55 6 6
30 6 7
63 6 7
91 6 7
63 6 11
14 6 12
1 6 13
91 6 14
77 6 16
52 6 17
76 6 18
90 6 18
59 6 19
88 6 20
50 6 22
52 6 22
90 6 24
16 6 27
7 6 29
22 6 30
80 6 30
99 6 30
28 6 33
90 6 33
24 6 36
4 6 38
14 6 38
50 6 38
58 6 39
87 6 40
56 6 41
81 6 43
11 6 48
64 6 48
61 6 49
70 6 50
85 6 50
46 6 52
96 6 54
94 7 1
7 7 4
49 7 4
73 7 5
26 7 8
88 7 8
22 7 12
34 7 12
81 7 12
66 7 15
71 7 15
99 7 15
9 7 16
11 7 16
16 7 17
43 7 17
67 7 18
76 7 18
41 7 20
19 7 21
35 7 22
65 7 23
23 7 24
28 7 25
79 7 27
89 7 28
60 7 30
77 7 30
25 7 32
88 7 32
67 7 35
96 7 35
60 7 36
91 7 38
8 7 40
42 7 41
78 7 41
10 7 43
31 7 43
91 7 44
78 7 46
94 7 48
7 7 49
9 7 49
11 7 49
53 7 49
16 7 51
82 7 53
79 7 54
80 7 55
66 7 56
87 7 58
96 7 58
90 8 1
31 8 3
90 8 7
95 8 8
40 8 11
8 8 14
25 8 15
56 8 15
58 8 15
47 8 16
47 8 17
23 8 18
96 8 18
86 8 19
37 8 20
5 8 22
12 8 23
87 8 24
30 8 25
23 8 26
14 8 28
35 8 28
43 8 28
53 8 28
43 8 30
17 8 33
3 8 35
12 8 35
82 8 38
41 8 39
90 8 40
26 8 43
68 8 43
72 8 43
86 8 44
24 8 47
89 8 47
45 8 48
74 8 48
6 8 52
93 8 54
12 8 55
98 8 55
18 8 56
19 8 56
88 8 58
97 8 58
85 9 1
99 9 1
65 9 2
73 9 2
68 9 3
97 9 4
69 9 6
7 9 8
60 9 8
70 9 8
31 9 9
90 9 9
99 9 10
16 9 11
20 9 12
67 9 12
73 9 12
60 9 14
98 9 14
12 9 17
66 9 17
33 9 18
59 9 18
21 9 21
35 9 21
44 9 22
70 9 24
46 9 27
69 9 27
96 9 29
9 9 32
20 9 32
50 9 33
80 9 34
93 9 34
25 9 35
54 9 36
12 9 37
63 9 40
64 9 41
13 9 43
93 9 44
56 9 45
39 9 46
94 9 46
96 9 46
10 9 52
45 9 53
37 10 1
83 10 2
75 10 3
36 10 5
8 10 6
12 10 7
75 10 8
99 10 8
23 10 13
25 10 14
12 10 15
21 10 16
46 10 16
3 10 19
48 10 19
32 10 20
9 10 22
29 10 24
36 10 25
19 10 26
23 10 28
27 10 28
89 10 28
24 10 30
44 10 30
100 10 31
42 10 32
76 10 32
42 10 35
81 10 35
93 10 36
6 10 37
89 10 37
34 10 39
55 10 39
85 10 42
7 10 43
