id	cim	mufajid	bemutato	utolso	hanyszor	nezoszam
1	Bunbury - avagy "Ha az ember igazat mond, biztos, hogy előbb-utóbb kiderül."	28	2000.09.02	2001.09.01	22	12791
2	Carmen	42	2002.02.17	2002.08.19	11	5991
3	A nyár utolsó virága	42	2004.09.20	2005.04.18	12	6536
4	Néró	19	2015.08.24	2016.06.26	13	6842
5	Én vagyok én, te vagy te	55	2017.08.16	2018.12.25	15	7803
6	Háry János	62	1998.12.17	2000.11.03	7	3084
7	A varázsfuvola	42	2007.06.03	2008.12.14	19	11047
8	Tizenkét dühös ember	19	2016.04.27	2017.07.30	10	4957
9	Kolpert úr	19	2022.11.04	2023.10.23	20	9914
10	Alexandre bis / Pásztoróra	57	2000.02.15	2001.09.08	11	5790
11	Rigoletto	42	2012.01.12	2013.03.27	16	8323
13	Pinokkió	3	2023.02.06	2023.11.16	10	6059
14	Rózsa és Ibolya	3	1994.12.13	1996.03.12	20	11016
15	Az elveszett levél	47	2009.12.20	2011.09.11	10	5630
17	Tizenkét dühös ember	19	2020.11.24	2022.02.04	15	7803
18	Pinokkió	22	2010.11.06	2011.02.13	6	3635
19	Pomádé király új ruhája	33	2018.07.11	2018.11.10	19	11512
20	Don Sanche	42	2017.11.03	2019.07.23	13	7558
21	Amadeus	19	1999.03.07	2000.08.03	17	8323
22	Játék a kastélyban	18	1994.03.20	1995.08.16	5	2448
23	A domb	7	1996.10.04	1998.03.21	18	9143
24	Időfutár	19	2000.02.16	2000.11.30	16	8323
25	Az Árgyélus királyfi	42	2001.02.22	2002.07.05	10	5692
26	A mosoly országa	24	2012.03.03	2014.01.02	18	10025
27	Rigoletto	42	2006.10.10	2007.08.25	18	9364
28	Másikember	28	1998.08.15	1999.11.19	23	13372
29	Ponyvaregény	16	2015.06.10	2016.11.02	15	8905
30	Rigoletto	42	2024.11.22	2026.07.03	18	9364
31	Újévi Operettgála	32	2015.09.29	2017.08.12	2	1187
32	Szentivánéji álom	28	2022.05.25	2022.10.27	31	18593
33	Haramiák	64	2016.01.06	2016.11.14	15	8537
34	A padlás	63	2005.05.19	2007.01.15	29	15973
35	Don Carlos	7	2013.02.20	2013.11.06	16	8617
36	Fekete Péter	24	2001.02.11	2001.11.03	16	9009
37	Hegedűs a háztetőn	66	2012.01.21	2013.04.24	22	13060
38	A titkosügynök	42	2005.05.03	2006.11.16	10	5508
39	Hi-Szen, a guruló madár	13	2007.07.19	2008.08.04	9	4517
40	Anyegin	42	2015.08.12	2016.12.07	13	6842
41	Übü a király, a zabszurd	13	1996.04.28	1996.12.19	8	3819
42	A varázsfuvola	42	2007.06.29	2009.03.19	13	6922
43	Szerelmi bájital	57	2016.10.28	2017.07.04	19	10581
44	Adriana Lecouvreur	42	2014.08.22	2015.08.06	17	9780
45	André Chénier	42	2022.03.15	2022.06.27	11	5991
46	Sirály	19	2009.07.29	2010.10.19	10	5386
47	Üvegcipő	19	1994.04.22	1995.11.11	13	6683
48	Hamlet	64	2023.12.04	2025.11.01	16	9302
49	A diótörő	22	1998.08.05	1999.07.07	10	5508
50	Kényes egyensúly	19	1994.08.11	1995.07.21	18	10355
51	Oedipus Rex	42	2024.07.02	2026.04.11	13	6842
52	Lear király	64	2014.09.27	2015.11.23	12	6610
